PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,metaldetector,Obstacle
511.24,420.91,10000.0,34.21,65.49,151.52,155,503.42,544,Rock
511.24,421.7,419.86,226.78,130.99,152.49,155,503.42,548,Negative
511.24,421.7,419.88,302.05,184.75,152.49,155,503.42,505,Negative
511.24,421.7,419.88,340.18,219.94,152.49,154,504.4,568,Negative
511.24,421.7,419.86,367.55,281.52,152.49,155,504.4,517,Negative
511.24,421.7,419.84,381.23,313.78,152.49,155,504.4,509,Negative
511.24,421.68,419.98,389.05,315.74,152.49,154,503.42,1012,Mine
511.24,421.8,419.96,358.75,301.08,152.49,155,504.4,571,Negative
511.24,421.84,419.96,377.32,305.96,152.49,155,503.42,571,Negative
511.24,421.75,419.88,384.16,291.3,152.49,154,503.42,521,Negative
511.24,421.73,420.0,378.3,262.95,152.49,154,503.42,549,Negative
511.24,421.85,419.98,365.59,261.97,152.49,155,503.42,505,Negative
511.24,421.73,419.88,369.5,281.52,151.52,155,503.42,524,Negative
511.24,421.73,419.88,385.14,303.03,152.49,155,504.4,551,Negative
511.24,421.73,419.84,387.1,304.01,152.49,155,503.42,507,Negative
511.24,421.84,419.96,375.37,269.79,151.52,155,503.42,1052,Mine
511.24,421.8,419.95,371.46,298.14,151.52,155,503.42,574,Negative
511.24,421.71,419.81,355.82,258.06,152.49,155,503.42,563,Negative
511.24,421.68,419.86,362.66,272.73,152.49,154,503.42,1060,Mine
511.24,421.73,419.88,354.84,242.42,152.49,154,503.42,1000,Mine
511.24,421.73,419.86,365.59,274.68,152.49,155,504.4,509,Negative
511.24,421.8,419.96,363.64,261.0,151.52,154,504.4,512,Negative
511.24,421.8,419.93,359.73,265.88,152.49,154,504.4,543,Negative
511.24,421.73,419.82,378.3,301.08,152.49,154,503.42,1081,Mine
511.24,421.73,419.82,350.93,260.02,152.49,155,503.42,579,Negative
511.24,421.73,419.89,374.39,286.41,152.49,155,504.4,1085,Mine
511.24,421.68,419.91,334.31,215.05,152.49,154,503.42,507,Negative
511.24,421.84,419.98,368.52,259.04,151.52,155,503.42,537,Negative
511.24,421.68,419.82,375.37,280.55,152.49,154,504.4,534,Negative
511.24,421.7,419.81,372.43,257.09,152.49,155,504.4,582,Negative
511.24,421.7,419.93,362.66,261.97,152.49,155,503.42,509,Negative
511.24,421.8,419.93,368.52,295.21,152.49,154,504.4,567,Negative
511.24,421.7,419.82,386.12,313.78,151.52,155,503.42,520,Negative
511.24,421.68,419.82,384.16,309.87,152.49,154,502.44,532,Negative
511.24,421.82,419.96,367.55,265.88,152.49,154,504.4,508,Negative
511.24,421.82,419.96,363.64,270.77,152.49,154,503.42,600,Negative
511.24,421.71,419.81,376.34,304.99,151.52,155,503.42,534,Negative
511.24,421.78,419.95,367.55,-145.65,152.49,154,504.4,516,Negative
511.24,421.7,419.95,367.55,10049.85,151.52,155,504.4,555,Mine
511.24,421.7,419.82,353.86,-52.79,152.49,155,503.42,559,Negative
511.24,421.68,419.96,387.1,198.44,152.49,155,503.42,545,Negative
511.24,421.84,419.95,382.21,218.96,152.49,155,503.42,543,Negative
511.24,421.68,419.82,365.59,249.27,152.49,154,503.42,500,Negative
511.24,421.73,419.86,384.16,348.97,151.52,154,503.42,552,Negative
511.24,421.71,419.86,358.75,299.12,152.49,155,503.42,598,Negative
511.24,421.8,419.96,369.5,213.1,152.49,154,503.42,556,Negative
511.24,421.71,419.86,377.32,186.71,152.49,155,503.42,579,Negative
511.24,421.7,419.86,367.55,262.95,152.49,154,503.42,540,Negative
511.24,421.84,419.98,368.52,297.17,151.52,155,503.42,521,Negative
511.24,421.84,419.96,357.77,-152.49,152.49,154,503.42,522,Negative
511.24,421.68,419.84,358.75,10043.99,152.49,154,503.42,566,Mine
511.24,421.7,419.89,397.85,511.24,152.49,155,503.42,1082,Mine
511.24,421.8,419.96,365.59,511.24,151.52,154,503.42,591,Negative
511.24,421.8,419.96,381.23,511.24,151.52,155,503.42,532,Negative
511.24,421.68,419.86,382.21,511.24,151.52,155,503.42,518,Negative
511.24,421.7,419.95,368.52,511.24,152.49,154,504.4,591,Negative
511.24,421.82,419.98,387.1,511.24,152.49,154,504.4,585,Negative
511.24,421.7,419.82,393.94,511.24,152.49,154,504.4,523,Negative
511.24,421.73,419.89,384.16,511.24,151.52,155,504.4,510,Negative
511.24,421.84,419.98,369.5,511.24,151.52,154,504.4,546,Negative
511.24,421.75,419.88,329.42,511.24,152.49,154,503.42,508,Negative
511.24,421.84,419.98,349.95,511.24,152.49,154,503.42,515,Negative
511.24,421.68,419.88,368.52,511.24,152.49,155,503.42,595,Negative
511.24,421.68,419.88,393.94,511.24,151.52,155,504.4,597,Negative
511.24,421.75,419.95,394.92,511.24,152.49,155,503.42,527,Negative
511.24,421.84,419.96,375.37,510.26,152.49,154,504.4,555,Negative
511.24,421.73,419.86,381.23,511.24,152.49,154,503.42,1021,Mine
511.24,421.73,419.88,331.38,9957.97,154.45,157,503.42,512,Mine
511.24,421.71,419.96,360.7,9956.99,154.45,157,503.42,587,Mine
511.24,421.84,419.98,343.11,9956.01,153.47,156,502.44,516,Mine
511.24,421.7,419.86,360.7,9956.99,154.45,156,503.42,516,Mine
511.24,421.75,419.96,370.48,258.06,151.52,154,503.42,502,Negative
511.24,421.8,419.96,366.57,275.66,152.49,155,503.42,511,Negative
511.24,421.73,419.88,374.39,306.94,152.49,155,504.4,578,Negative
511.24,421.73,419.86,386.12,306.94,152.49,155,503.42,594,Negative
511.24,421.78,419.96,377.32,263.93,152.49,155,503.42,541,Negative
511.24,421.71,419.86,360.7,272.73,152.49,154,503.42,600,Negative
511.24,421.73,419.84,375.37,302.05,151.52,155,503.42,502,Negative
